Job Titles,Employees,Industry,City,State,Country,Date Post,Job Skills
"Analyst, Digital Distribution Solution","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/11/2024,"Acceptance Testing, Business Requirements, Compatibility Testing, Malay, Software Testing, Stress Tolerance, Test Cases, and User Acceptance Testing,Communication and User Requirements"
"Analyst, Digital Distribution Solution","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/23/2023,"Acceptance Testing, Business Requirements, Compatibility Testing, Malay, Software Testing, Stress Tolerance, Test Cases, and User Acceptance Testing,Communication and User Requirements"
"Analyst, Digital Distribution Solution","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/21/2023,"C#, Computer Science, Deployment Management, Electronic Engineering, MES, QRM, Service Levels, Service-Level Agreements (SLA), Software Project Management, and Software Projects,C#, Computer Science, Deployment Management, Electronic Engineering, MES, QRM, Service Levels, Service-Level Agreements (SLA), Software Project Management, and Software Projects"
"Analyst, Digital Distribution Solution-1","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/5/2023,"Teamwork · Engineering Documentation · Analytical Skills · Quality Control · User Requirements,Teamwork · Engineering Documentation · Analytical Skills · Quality Control · User Requirements"
"Analyst, Digital Distribution Solution-2","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/22/2023,"Acceptance Testing, Business Requirements, Compatibility Testing, Computer Science, Malay, Software Testing, Stress Tolerance, and Test Cases,Communication and Software Development"
"Analyst, Power Platform","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/8/2024,"Business Requirements, Negotiation, Software Implementation, and Support Services,Analytical Skills and Communication"
"Analyst, QMO Analytics","10,001+ employees ", Semiconductor Manufacturing,Bukit Mertajam,Pulau Pinang, Malaysia,12/19/2023,"Project Management · Analytical Skills · Data Visualization · Data Analytics · Communication · Analytics · Quality Metrics · Easily Adaptable · Resource Planning · Business Process,Project Management · Analytical Skills · Data Visualization · Data Analytics · Communication · Analytics · Quality Metrics · Easily Adaptable · Resource Planning · Business Process"
"Analyst, QMO Analytics","10,001+ employees ", Semiconductor Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/3/2024,"Project Management · Analytical Skills · Data Visualization · Data Analytics · Communication · Analytics · Quality Metrics · Easily Adaptable · Resource Planning · Business Process,"
"Analyst, QMO Analytics","10,001+ employees ", Semiconductor Manufacturing,Perai,Pulau Pinang, Malaysia,11/27/2023,"Project Management · Analytical Skills · Data Visualization · Data Analytics · Communication · Analytics · Quality Metrics · Easily Adaptable · Resource Planning · Business Process,Project Management · Analytical Skills · Data Visualization · Data Analytics · Communication · Analytics · Quality Metrics · Easily Adaptable · Resource Planning · Business Process"
"Analyst, Strategy & Analytic ","5,001-10,000 employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/19/2023,"Business Analysis, Data Feeds, Financial Analysis, Financial Modeling, Operations Research, and Quantitative Finance,Analytical Skills, Analytics, Communication, and Data Analytics"
"Analyst, Testing","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/5/2024,"Support Services, Testing Process, and User Acceptance Testing,Databases"
"Analyst, Testing","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/6/2024,"Compliance Management, Constructive Feedback, English, International Relations, Reading Comprehension, Thai, Vietnamese, and Workload Prioritization,Communication and Regulatory Compliance"
"Analyst/Associate Consultant, Primary Intelligence","10,001+ employees ", Hospitals and Health Care,Selangor,Selangor, Malaysia,1/9/2024,"Analytical Skills, Communication, and Project Management,English, Healthcare, Market Analysis, Presentations, Secondary Research, Spoken English, and Statistics"
Analytics Engineer,"10,001+ employees ", Food and Beverage Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/5/2023,"Query Languages · Data Science · Analytics · Data Analytics · Data Engineering · Databases · Data Warehousing · Visualization · Extract, Transform, Load (ETL) · Query Writing,Query Languages · Data Science · Analytics · Data Analytics · Data Engineering · Databases · Data Warehousing · Visualization · Extract, Transform, Load (ETL) · Query Writing"
Analytics Engineer,"10,001+ employees ", Food and Beverage Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/12/2024,"Query Languages · Data Science · Analytics · Data Analytics · Data Engineering · Databases · Data Warehousing · Visualization · Extract, Transform, Load (ETL) · Query Writing,Query Languages · Data Science · Analytics · Data Analytics · Data Engineering · Databases · Data Warehousing · Visualization · Extract, Transform, Load (ETL) · Query Writing"
Analytics Visualisation Analyst,"10,001+ employees ", Food and Beverage Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia ,1/12/2024,"Business Insights, Business Requirements, Query Writing, Reporting & Analysis, and Requirements Gathering,Business Analytics, Data Analytics, Databases, Query Languages, and Relational Databases"
"An'yst, Securities Ops","10,001+ employees ", Banking,Bukit Jalil, Federal Territory of Kuala Lumpur, Malaysia,12/29/2023,"Communication,Commerce, Data Entry, Recon, Risk Control, Security Operations, Service Levels, Service-Level Agreements (SLA), Static Data, and Timelines"
"An'yst, Settlements","10,001+ employees ", Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Clearstream, Corporate Actions, Defect Management, Euroclear, Manufacturing Process Improvement, Securities, Service-Level Agreements (SLA), Settlement, and Team Management,"
API Developer,"10,001+ employees ", Business Consulting and Services,Bandar Sri Damansara, Selangor, Malaysia,12/26/2023,"Node.js, React.js, and Software Development,Application Testing, Enterprise JavaBeans (EJB), Jakarta EE, JavaServer Pages (JSP), Object-Oriented Programming (OOP), Programming, and Servlets"
Application Development Associate,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/12/2024,"Software Development · Application Development · Analytical Skills · Communication · Computer Science · Written Communication,Software Development · Application Development · Analytical Skills · Communication · Computer Science · Written Communication"
Application Engineer,"10,001+ employees ", Industrial Machinery Manufacturing,Petaling Jaya, Selangor, Malaysia,12/17/2023,"Communication,Communication"
Application Maintenance/Production Support,"10,001+ employees ", Business Consulting and Services,Cyberjaya, Selangor, Malaysia,1/10/2024,"DMP, Java, and Troubleshooting,Database Management System (DBMS), Databases, Research Skills, and Technical Support"
Application Support Analyst,11-50 employees , Staffing and Recruiting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/14/2023,"Analytical Skills, Databases, Software Development, and Technical Support,Application Support, Computer Science, IT Project Management, Information Technology, and Troubleshooting"
Application Support Engineer,"1,001-5,000 employees ", Marketing Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Databases and Problem Solving,Application Support, C#, Interpersonal Communication, Postman API, Resolving Issues, Secure File Transfer Protocol (SFTP), Standby, and Troubleshooting"
Application Support Engineer,"1,001-5,000 employees ", Marketing Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/14/2023,"Databases and Problem Solving,"
Application Support Engineer,"501-1,000 employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"AWR, Application Support, Customer Satisfaction, Java Database Connectivity (JDBC), JavaServer Faces (JSF), Organization Skills, and Performance Tuning,Analytical Skills, Communication, and Technical Support"
Application Support Engineer,"1,001-5,000 employees ", Marketing Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/11/2023,"Application Support, C#, Interpersonal Communication, Postman API, Resolving Issues, Secure File Transfer Protocol (SFTP), Standby, and Troubleshooting,Databases and Problem Solving"
Application Support Engineer,"1,001-5,000 employees ", Marketing Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/8/2024,"Application Support, C#, Interpersonal Communication, Postman API, Resolving Issues, Secure File Transfer Protocol (SFTP), Standby, and Troubleshooting,"
Applications Engineer,"1,001-5,000 employees ", Machinery Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/2/2024,"Automation and Computer Literacy,Analytical Skills and Communication"
Aspire Finannce,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/20/2023,"Coaching, Coaching & Mentoring, Economics, English, Financial Planning, Investor Relations, and Mathematics,Analytical Skills, Communication, and Problem Solving"
Assembly & Test Quality Assurance Engineering,"10,001+ employees ", Semiconductor Manufacturing,Batu Kawan,Pulau Pinang, Malaysia,11/27/2023,"Communication, Quality Assurance, and Quality Control,Corrective Actions, Documentation, Government Regulations, Interpersonal Skills, Statistical Process Control (SPC), Supplier Quality, and Workload Prioritization"
"Assistant, Recovery (Warehouse)","10,001+ employees ", Truck Transportation,Shah Alam, Selangor, Malaysia,12/1/2023,"Communication,Computer Literacy, English, Google Workspace, Inventory Management, Malay, New Concepts, Office Application, Service-Level Agreements (SLA), and Tally ERP"
"Assistant/ Officer, Credit Admin","501-1,000 employees ", Real Estate,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Financial Operations, Financial Regulations, HR Management, HR Operations, Policies & Procedures, Procurement, and Strategic Initiatives,Financial Operations, Financial Regulations, HR Management, HR Operations, Policies & Procedures, Procurement, and Strategic Initiatives"
Associate,"10,001+ employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/6/2024,"Accounting Standards, Big Four Accounting Firms, Deadline Oriented, Financial Reporting, Fund Accounting, Interpersonal Communication, Journal Entries (Accounting), Skilled Multi-tasker, Tax Compliance, and Waterfall Project Management,Accounting Standards, Big Four Accounting Firms, Deadline Oriented, Financial Reporting, Fund Accounting, Interpersonal Communication, Journal Entries (Accounting), Skilled Multi-tasker, Tax Compliance, and Waterfall Project Management"
Associate,"1,001-5,000 employees ", Insurance,Cyberjaya, Selangor, Malaysia,12/6/2023,"Business Requirements, Data Maintenance, Enquiries, Interpersonal Skills, Presentations, SAP FICO, Soft Skills, Statutory Accounting Principles (SAP), and Supplier Enablement,Communication"
Associate,"1,001-5,000 employees ", Insurance,Cyberjaya, Selangor, Malaysia,1/5/2024,"Administrative Processes, After-Sales, Enquiries, Finance, Marketing, Sales, and Sales Operations,Communication, Research Skills, and Teamwork"
Associate,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,1/2/2024,"Analytical Skills and Microsoft Office,Accounting, Attitude Change, Client Services, Economics, Finance, Remote Work, Troubleshooting, and Visual Basic for Applications (VBA)"
Associate,"10,001+ employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/29/2023,"Compilation Of Financial Statements, English, Manufacturing Process Improvement, Negotiation, and Team Leadership,Adobe Photoshop, Analytical Skills, Communication, Data Analysis, and Teamwork"
Associate,"1,001-5,000 employees ", Accounting,Ipoh, Perak, Malaysia,12/7/2023,"Certified Public Accounting, Economics, Finance, Financial Reporting, Financial Statements, Generally Accepted Accounting Principles (GAAP), Interpersonal Communication, and Sarbanes-Oxley Act,"
Associate,"1,001-5,000 employees ", Insurance,Cyberjaya, Selangor, Malaysia,12/1/2023,"AIA, Change Requests, Customer Experience, Driving Results, Life Change, Performance Management, Presentations, Service Levels, and Service-Level Agreements (SLA),"
Associate,"1,001-5,000 employees ", Accounting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/30/2023,"Indirect Taxation, Routing Protocols, Tax Audits, Transfer Pricing, Value-Added Tax (VAT), Workflow Management, and Written Communication,Analytical Skills, Communication, and Problem Solving"
Associate,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,12/4/2023,"Indirect Taxation, Routing Protocols, Tax Audits, Transfer Pricing, Value-Added Tax (VAT), Workflow Management, and Written Communication,Analytical Skills, Communication, and Problem Solving"
Associate,"1,001-5,000 employees ", Insurance,Cyberjaya, Selangor, Malaysia,1/10/2024,"AIA, Change Requests, Customer Experience, Driving Results, Life Change, Performance Management, Presentations, Service Levels, and Service-Level Agreements (SLA),"
Associate,"10,001+ employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/3/2024,"Accounting Standards, Big Four Accounting Firms, Deadline Oriented, Financial Reporting, Fund Accounting, Interpersonal Communication, Journal Entries (Accounting), Skilled Multi-tasker, Tax Compliance, and Waterfall Project Management,Accounting Standards, Big Four Accounting Firms, Deadline Oriented, Financial Reporting, Fund Accounting, Interpersonal Communication, Journal Entries (Accounting), Skilled Multi-tasker, Tax Compliance, and Waterfall Project Management"
Associate,"10,001+ employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/14/2023,"Accounting Standards, Big Four Accounting Firms, Chinese, Deadline Oriented, Financial Reporting, Fund Accounting, Interpersonal Communication, Journal Entries (Accounting), Skilled Multi-tasker, and Tax Compliance,Accounting Standards, Big Four Accounting Firms, Chinese, Deadline Oriented, Financial Reporting, Fund Accounting, Interpersonal Communication, Journal Entries (Accounting), Skilled Multi-tasker, and Tax Compliance"
Associate ,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,11/28/2023,"Business Process Re-engineering, Capacity Planning, Computer Science, Information Rights Management, Information Technology, JD Edwards, and Resource Planning,"
Associate - Accounts Payable,51-200 employees , Accounting,Cyberjaya, Selangor, Malaysia,12/29/2023,"Microsoft Outlook,Accounts Payable (AP), Accounts Receivable (AR), Data Entry, Financial Accounting, General Ledgers, Journal Entries (Accounting), Persuasion, Query Resolution, and QuickBooks"
Associate - Audit Assurance,"1,001-5,000 employees ", Accounting,Johor Bahru, Johor, Malaysia,12/14/2023,"Communication and Problem Solving,Certified Public Accounting, Economics, Finance, Financial Reporting, Financial Statements, Interpersonal Communication, Sarbanes-Oxley Act, and Statutory Audits"
Associate - Audit Assurance,"1,001-5,000 employees ", Accounting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2023,"Certified Public Accounting, Economics, Finance, Financial Reporting, Financial Statements, Generally Accepted Accounting Principles (GAAP), Interpersonal Communication, and Sarbanes-Oxley Act,Communication and Problem Solving"
Associate - Audit Assurance ,"1,001-5,000 employees ", Accounting,Labuan,Wilayah Persekutuan Labuan, Malaysia,12/18/2023,"Communication and Problem Solving,Certified Public Accounting, Economics, Financial Reporting, Financial Statements, Generally Accepted Accounting Principles (GAAP), Interpersonal Communication, Sarbanes-Oxley Act, and Statutory Audits"
Associate - Business Continuity Management,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,11/29/2023,"Business Continuity Management (BCM), Business Continuity Planning, Continuity Management, Crisis, Crisis Management, Facilitation, ISO 22301, Management Information Systems (MIS), and Presentations,Communication"
Associate – Cloud Solutions,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,12/18/2023,"Backup Solutions, Business Requirements, C#, Container Orchestration, JSON, Microsoft SQL Server, PostgreSQL, Relationship Development, and YAML,Communication"
Associate – Corporate Restructuring,"1,001-5,000 employees ", Accounting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2023,"English, Interpersonal Skills, Presentations, Project Delivery, Report Writing, Restructuring, Sales Presentations, and Spoken English,Communication and Data Analytics"
Associate – ESG Assurance,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,12/22/2023,"English, Environmental, Social, and Governance (ESG), External Audits, Financial Statements, Interpersonal Skills, Stakeholder Engagement, and Sustainability Accounting Standards,Analytical Skills, Communication, and Problem Solving"
Associate – IT Audit,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,11/25/2023,"Analytics, Data Analytics, and Databases,"
Associate – IT Audit,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,11/29/2023,"Business Process Re-engineering, Capacity Planning, Computer Science, Information Rights Management, Information Technology, JD Edwards, and Resource Planning,Analytics, Data Analytics, and Databases"
Associate - NZ Existing Business,"1,001-5,000 employees ", Insurance,Cyberjaya, Selangor, Malaysia,12/29/2023,"Communication,AIA, Change Requests, Customer Experience, Driving Results, Life Change, Performance Management, Presentations, Service Levels, and Service-Level Agreements (SLA)"
Associate - P2P Procurement Support Operations,"1,001-5,000 employees ", Insurance,Cyberjaya, Selangor, Malaysia,1/9/2024,"Business Requirements, Data Maintenance, Enquiries, Interpersonal Skills, Presentations, SAP FICO, Soft Skills, Statutory Accounting Principles (SAP), and Supplier Enablement,Communication"
Associate Business,"5,001-10,000 employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/11/2024,"Analytical Skills, Auditing, Communication, and Problem Solving,Business Process, Computer Science, English, Mandarin, Mathematics, and Spoken English"
Associate I - Business Analysis,"10,001+ employees ", IT Services and IT Consulting,Cyberjaya, Selangor, Malaysia,12/18/2023,"Business Analysis, Document Analysis, Flow Diagrams, Process Flow Diagrams, Requirements Engineering, Requirements Workshops, Software Requirements, State Diagrams, and Template Design,Technical Requirements"
Associate I - Business Analysis,"10,001+ employees ", IT Services and IT Consulting,Cyberjaya, Selangor, Malaysia,1/9/2024,"Business Analysis, Document Analysis, Flow Diagrams, Process Flow Diagrams, Requirements Engineering, Requirements Workshops, Software Requirements, State Diagrams, and Template Design,Technical Requirements"
Associate Installation Analysis Engineer,"10,001+ employees ", Oil and Gas,Kulim, Kedah, Malaysia,12/6/2023,"Calculations, Computer Simulations, Finite Element Analysis (FEA), Mathcad, Orcaflex, Subsea Engineering, Technical Reports, Visual Basic for Applications (VBA), and Written Communication,Communication"
"Associate, AML Transaction Risk Monitoring","10,001+ employees ", Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/29/2023,"Analytical Skills and Communication,Back-end Operations, Business Continuity, Business Continuity Planning, Business Relationship Management, Command, Due Diligence, English, and Reports Analysis"
"Associate, AML Transaction Risk Monitoring","10,001+ employees ", Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2023,"Analytical Skills and Communication,Back-end Operations, Business Continuity, Business Continuity Planning, Business Relationship Management, Command, Due Diligence, English, and Reports Analysis"
"Associate, Compliance Risk and Diligence","5,001-10,000 employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/18/2023,"Business Insights, Business Requirements, Query Writing, Reporting & Analysis, and Requirements Gathering,Business Analytics, Data Analytics, Databases, Query Languages, and Relational Databases"
"Associate, Cross Border","10,001+ employees ", Truck Transportation,Shah Alam, Selangor, Malaysia,11/29/2023,"Budget Preparation, Organization Skills, P&L review, Structured Thinking, Third Party Vendors, and Third-Party Logistics (3PL),Communication, Data Analysis, Data Analytics, and Problem Analysis"
"Associate, Fund Services","5,001-10,000 employees ", Financial Services,Johor Bahru, Johor, Malaysia,1/12/2024,"Communication and Problem Solving,Association of Chartered Certified Accountants (ACCA), Client Relations, Functionality, General Administration, Net Asset Value (NAV), Organization Skills, U.S. GAAP Reporting, and Workload Prioritization"
"Associate, Procurement Admin","10,001+ employees ", Truck Transportation,Subang Jaya, Selangor, Malaysia,1/4/2024,"Administrative Assistance, Business Applications, Coordination Skills, Dispute Resolution, Easily Adaptable, Enquiries, Mandarin, Order Management, and Procurement,Communication"
