,Job Titles,Employees,Industry,City,State,Country,Date Post,Job Skills
15,Analyst,"1,001-5,000 employees",Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/16/2023,"Data Integrity, Employee Benefits, Events, Financial Services, Fund Management, Interpersonal Communication, Interpersonal Skills, Offboarding, Operations, and Settlement,"
16,Quality Assurance Operations - Business Development,"5,001-10,000 employees "," Technology, Information and Internet",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia ,12/29/2023,"Quality Management · Quality Control · Quality Assurance,"
17,Scrub Technician,11-50 employees, Hospitals and Health Care,Georgetown, Penang, Malaysia ,12/19/2023,"Teamwork,Healthcare, Hospital Management, Interpersonal Communication, Nursing, Orthopedics, Relationship Building, Scrub, and Self-Management"
18,Junior Data Analyst,51-200 employees , Computer Games,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia ,12/20/2023,"Chinese, Data Mapping, English, Spoken English, and Visualization,"
19,Software Test Engineer,"1,001-5,000 employees ", Software Development,Shah Alam, Selangor, Malaysia ,1/11/2024,"Software Testing, Test Automation, Test Cases, Test Scripts, and Testing Tools,Problem Solving, Quality Assurance, Software Development, Test Planning, and User Requirements"
20,Analytics Visualisation Analyst,"10,001+ employees ", Food and Beverage Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia ,1/12/2024,"Business Insights, Business Requirements, Query Writing, Reporting & Analysis, and Requirements Gathering,Business Analytics, Data Analytics, Databases, Query Languages, and Relational Databases"
21,Junior Analyst,"5,001-10,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/7/2024,"Client Presentation, Computer Literacy, Mathematics, Presentations, Relationship Building, Service-Level Agreements (SLA), and Test Automation Tools,Analytical Skills, Communication, and Databases"
22,Associate – ESG Assurance,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,12/28/2023,"English, Environmental, Social, and Governance (ESG), External Audits, Financial Statements, Interpersonal Skills, Stakeholder Engagement, and Sustainability Accounting Standards,Analytical Skills, Communication, and Problem Solving"
23,Analyst,51-200 employees , Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/18/2023,"Analytical Skills and Python (Programming Language),Actuarial Consulting, Actuarial Science, High Level Of Accuracy, Interpersonal Communication, R Shiny, SAS (Software), Skilled Multi-tasker, and Stakeholder Engagement"
24,Policy Governance Executive,"5,001-10,000 employees "," Technology, Information and Internet",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/19/2023,"Attention to Detail, Content Marketing, Interpersonal Skills, Logics, Organization Skills, Web Content Writing, and Written Communication,Communication, Critical Thinking, and Problem Solving"
25,"Analyst, QMO Analytics","10,001+ employees ", Semiconductor Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/20/2023,"Project Management · Analytical Skills · Data Visualization · Data Analytics · Communication · Analytics · Quality Metrics · Easily Adaptable · Resource Planning · Business Process,"
26,Project Coordinator,"10,001+ employees ", Chemical Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/27/2023,"SAP ERP,"
27,Data Analyst,51-200 employees , Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/28/2023,"Analytical Skills, Data Visualization, Python (Programming Language), and SQL,High Level Of Accuracy, SAS (Programming Language), Skilled Multi-tasker, Stakeholder Management, and Time Management"
28,Administrator - Data Management & Reporting,"1,001-5,000 employees ", Accounting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/16/2023,"Excel Formulas, Pivot Tables, Professional Skills, Query Writing, and Strategy to Execution,"
29,"Data Scientist, Asia","501-1,000 employees ", Insurance,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/27/2023,"Apache Pig, Data Preparation, Datasets, Experimental Design, Hive, Presentations, Quantitative Data, and R (Programming Language),"
30,Data engineer,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/19/2023,"Apache Spark, Data Manipulation, Documentation, Extract, Transform, Load (ETL), Pandas (Software), and Query Writing,"
31,"Data Quality Assurance, Specialist",201-500 employees , Banking,Petaling Jaya, Selangor, Malaysia,1/11/2024,"Data Mapping, Data Marts, Data Verification, Emerging Trends, Scenario Testing, and Troubleshooting,"
32,Data Scientist,"501-1,000 employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/12/2023,"MATLAB, Machine Learning, Modeling, Natural Language Processing (NLP), Optimization, Predictive Analytics, and Unsupervised Learning,Analytical Skills, Data Science, and Python (Programming Language)"
33,Proposal Writer Specialist,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/30/2023,"Attention to Detail, Bid Strategy, Communication Design, Information Design, Journalism, Proposal Writing, Request for Proposal (RFP), Typography, and Writing,Communication"
34,"Data Analyst, Asia","501-1,000 employees ", Insurance,Petaling Jaya, Selangor, Malaysia,11/29/2023,"Budgeting & Forecasting, Business Analysis, Business Insights, Data Integrity, Database Tools, Key Metrics, Reporting Requirements, and Reporting Systems,Data Analytics and User Requirements"
35,Engineer I,51-200 employees , Hospitals and Health Care,Putrajaya, Putrajaya Federal Territory, Malaysia,12/18/2023,"Cascading Style Sheets (CSS),Teamwork"
36,Test Engineer,"10,001+ employees ", Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/19/2023,"Automation, Documentation, Manual Testing, Project Assurance, Software Testing, Test Automation, Test Data, and Test Strategy,Quality Assurance and Test Planning"
37,Software Quality Assurance Engineer - [RID-00201],201-500 employees ," Technology, Information and Internet",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Black Box Testing, Bug Tracking, Design Documents, REST APIs, Server Architecture, Test Cases, Test Scripts, Tracking Systems, and White Box,Quality Assurance"
38,Graduate Engineer,"5,001-10,000 employees ", Engineering Services,Johor Baharu, Johor, Malaysia,12/1/2023,"Mechanical Engineering and New Concepts,Communication and Problem Solving"
39,Data engineer,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/14/2023,"Apache Spark, Data Manipulation, Documentation, Extract, Transform, Load (ETL), Pandas (Software), and Query Writing,Data Analysis, Data Analytics, Data Engineering, and Data Science"
40,Data Analyst,11-50 employees, IT Services and IT Consulting,Petaling Jaya, Selangor, Malaysia,12/15/2023,"Analytical Skills · Analytics · Big Data · Data Analysis · Data Analytics · Data Mining · SQL · Ad Hoc Analysis · Mathematics · Statistics,Analytical Skills · Analytics · Big Data · Data Analysis · Data Analytics · Data Mining · SQL · Ad Hoc Analysis · Mathematics · Statistics"
41,Product Audiologist,11-50 employees,Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/16/2023,"Customer Support, Hearing Aids, Presentation Skills, Product Launch Planning, Product Registration, Product Support, Product Training, Relationship Building, and Relationship Development,Customer Support, Hearing Aids, Presentation Skills, Product Launch Planning, Product Registration, Product Support, Product Training, Relationship Building, and Relationship Development"
42,Analyst,"1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/30/2023,"Business Requirements and Project Plans,Analytical Skills and Communication"
43,Media Search Analyst,"10,001+ employees ", IT Services and IT Consulting,Subang Jaya, Selangor, Malaysia,12/2/2023,"Communication, Research Skills, and Teamwork,Apple Products, Attention to Detail, Defining Requirements, Easily Adaptable, English, Online Content, and Online Research"
44,"Analyst, QMO Analytics","10,001+ employees ", Semiconductor Manufacturing,Bukit Mertajam, Penang, Malaysia,12/17/2023,"Project Management · Analytical Skills · Data Visualization · Data Analytics · Communication · Analytics · Quality Metrics · Easily Adaptable · Resource Planning · Business Process,Project Management · Analytical Skills · Data Visualization · Data Analytics · Communication · Analytics · Quality Metrics · Easily Adaptable · Resource Planning · Business Process"
45,Officer - Impact@KPMG Strategist,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,1/10/2024,"Adobe Illustrator, Adobe Premiere Pro, Canva, Design Tools, General Administration, Internal Marketing, Interpersonal Skills, Materiality, and Program Coordination,Adobe Photoshop"
46,Technology Analyst - Digital Customer,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/29/2023,"Business Requirements, Enterprise Solution Design, Sales Transformation, Salesforce Sales Cloud, Technical Architecture, Technical Solution Design, Technology Consulting, and Workshops,Analytical Skills and Technical Requirements"
47,Quality Assurance Analyst,"5,001-10,000 employees "," Technology, Information and Internet",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/17/2023,"Quality Control · Analytical Skills · Test Planning · Data Analytics · Communication · Quality Assurance · Test Cases,Quality Control · Analytical Skills · Test Planning · Data Analytics · Communication · Quality Assurance · Test Cases"
48,Application Support Engineer,"1,001-5,000 employees ", Marketing Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2023,"Application Support, C#, Interpersonal Communication, Postman API, Resolving Issues, Secure File Transfer Protocol (SFTP), Standby, and Troubleshooting,Databases and Problem Solving"
49,Sales Admin Support,"5,001-10,000 employees ", IT Services and IT Consulting,Cyberjaya, Selangor, Malaysia ,12/1/2023,"Communication and Quality Assurance,Chief Experience Offiers, Management, Marketing, Sales, Sales and Marketing, Service Work, and Tech Savy"
50,Project Management Executive,51-200 employees , Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/1/2023,"Communication, Problem Solving, and Project Management,Account Management, Customer Relationship Management (CRM), Demand Management, English, Mandarin, Project Delivery, and Strategy"
51,Learning & Development Assistant - L&D,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,1/11/2024,"Computer Literacy, Coordination Skills, Employee Relations, General Administration, Interpersonal Communication, Learning Management, Learning Management Systems, Malay, and Onboarding,Microsoft Outlook"
52,"Markets & Business Development, Associate","10,001+ employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/13/2024,"Attention to Detail, Customer Satisfaction, Lead Generation, Oral Communication, Presentation Skills, Proposal Production, and Writing,Communication, Problem Solving, and Teamwork"
53,Data Analyst,201-500 employees , Computer Games,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/12/2024,"A/B Testing, Action Research, Marketing Analytics, Mathematical Statistics, Mathematics, and Probability Theory,Analytics, Data Analytics, Data Collection, and Databases"
54,Junior Project Management Officer,"10,001+ employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/6/2024,"Project Management,Calypso, Capital Markets, Foreign Exchange (FX) Trading, IT Project Management, Murex, Project Management Office (PMO), and Retail Banking"
55,Engineer I,51-200 employees , Hospitals and Health Care,Putrajaya, Putrajaya Federal Territory, Malaysia,1/7/2024,"Cascading Style Sheets (CSS),Teamwork"
56,Regulatory Compliance Associate,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/8/2024,"Anti-Money Laundering, Compliance Management, Confidentiality, Due Diligence, Interpersonal Skills, and Service-Level Agreements (SLA),Analytical Skills, Communication, Problem Solving, and Regulatory Compliance"
57,Project Management Coordinator,"10,001+ employees "," Appliances, Electrical, and Electronics Manufacturing",Johor Baharu, Johor, Malaysia,1/9/2024,"Clarity, Key Performance Indicators, Negotiation, Program Management, Project Coordination, Project Plans, and Timelines,Analytical Skills, Communication, and Critical Thinking"
58,Field Engineer,"10,001+ employees ", Oil and Gas,Johor Baharu, Johor, Malaysia,1/10/2024,"As-built Documentation, Building Materials, Consumables, Contract Requirements, Corrective Actions, Job Safety Analysis, and Project Coordination,Communication, Problem Solving, and Technical Support"
59,Project Administrator,"10,001+ employees ", Hospitals and Health Care,Petaling Jaya, Selangor, Malaysia,1/11/2024,"Data Privacy, Data Protection Law, Interpersonal Skills, Oral Communication, Presentations, Project Coordination, Project Plans, Stakeholder Management, and Tracking Systems,Communication"
60,"Junior Associates, Operation Excellence","10,001+ employees ", Truck Transportation,Shah Alam, Selangor, Malaysia,12/23/2023,"Continuous Improvement, English, Google Workspace, Malay, Organization Skills, and Product Knowledge,Communication, Microsoft Excel, Problem Solving, and Teamwork"
61,Data Labelling Agent,"5,001-10,000 employees "," Technology, Information and Internet",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Communication · Problem Solving · Critical Thinking · English · Annotation,Communication · Problem Solving · Critical Thinking · English · Annotation"
62,Analyst,"10,001+ employees ", Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/5/2024,"Analytical Skills · Communication · Post Campaign Analysis,Analytical Skills · Communication · Post Campaign Analysis"
63,Coverage Enablement Analyst,"10,001+ employees ", Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/6/2024,"Data Analytics · Query Languages · Analytical Skills · Business Analytics · Problem Solving · Communication · Macros · Statistical Analysis · Oral Communication · Organization Skills,Data Analytics · Query Languages · Analytical Skills · Business Analytics · Problem Solving · Communication · Macros · Statistical Analysis · Oral Communication · Organization Skills"
64,"Analyst, Digital Distribution Solution-1","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/7/2024,"Teamwork · Engineering Documentation · Analytical Skills · Quality Control · User Requirements,Teamwork · Engineering Documentation · Analytical Skills · Quality Control · User Requirements"
65,Analytics Engineer,"10,001+ employees ", Food and Beverage Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/8/2024,"Query Languages · Data Science · Analytics · Data Analytics · Data Engineering · Databases · Data Warehousing · Visualization · Extract, Transform, Load (ETL) · Query Writing,Query Languages · Data Science · Analytics · Data Analytics · Data Engineering · Databases · Data Warehousing · Visualization · Extract, Transform, Load (ETL) · Query Writing"
66,Associate – Cloud Solutions,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,1/9/2024,"Backup Solutions, Business Requirements, C#, Container Orchestration, JSON, Microsoft SQL Server, PostgreSQL, Relationship Development, and YAML,Communication"
67,Project Engineer,51-200 employees, Civil Engineering,Klang, Selangor, Malaysia,12/18/2023,"Engineering, Microsoft Office, Project Management, Project Teams, and Site Management,Industrial Engineering, Performance Management, Project Coordination, Project Documentation, and Request for Information (RFI)"
68,"Analyst, Testing","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/19/2023,"Databases · Quality Control · User Requirements · Testing Process · User Acceptance Testing,Databases · Quality Control · User Requirements · Testing Process · User Acceptance Testing"
69,Media Search Analyst,"10,001+ employees ", IT Services and IT Consulting,Klang, Selangor, Malaysia,12/20/2023,"Communication, Research Skills, and Teamwork,Apple Products, Attention to Detail, Defining Requirements, Easily Adaptable, English, Online Content, and Online Research"
70,QA Software Engineer,"501-1,000 employees ", Biotechnology Research,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Attention to Detail, Computer Science, Interpersonal Communication, Manual Testing, QA Engineering, Software Testing, and Test Cases,Communication, Problem Solving, and Quality Assurance"
71,Associate - P2P Procurement Support Operations,"1,001-5,000 employees ", Insurance,Cyberjaya, Selangor, Malaysia,1/5/2024,"Business Requirements, Data Maintenance, Enquiries, Interpersonal Skills, Presentations, SAP FICO, Soft Skills, Statutory Accounting Principles (SAP), and Supplier Enablement,Communication"
72,Business Operations Specialist,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/17/2023,"Business Reviews, Data Preparation, Macros, Presentations, and Variance Analysis,Analytical Skills, Communication, Data Analysis, Data Analytics, and Microsoft Excel"
73,Client Services Analyst,51-200 employees , Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/18/2023,"Analytical Skills and Microsoft Office,Accounting, Attitude Change, Client Services, Economics, Finance, Remote Work, Troubleshooting, and Visual Basic for Applications (VBA)"
74,Laboratory Engineer - Drilling & Completion Fluids,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Drilling Fluids, Fluids, Interfaces, Interpersonal Skills, Laboratory Skills, Oil and Gas Drilling, Petroleum Engineering, and Post-Sales,Communication and Problem Solving"
75,Project Support Coordinator,11-50 employees, Civil Engineering,Petaling Jaya, Selangor, Malaysia,12/9/2023,"Analytical Skills, Communication, Skill Development, and Teamwork,Cost Estimation, Project Support, Technological Innovation, Trend Analysis, Workable Solutions, and Written Communication"
76,"Analyst, QMO Analytics","10,001+ employees ", Semiconductor Manufacturing,Perai, Penang, Malaysia,12/21/2023,"Project Management · Analytical Skills · Data Visualization · Data Analytics · Communication · Analytics · Quality Metrics · Easily Adaptable · Resource Planning · Business Process,Project Management · Analytical Skills · Data Visualization · Data Analytics · Communication · Analytics · Quality Metrics · Easily Adaptable · Resource Planning · Business Process"
77,Data Engineer,"10,001+ employees ", Business Consulting and Services,Cyberjaya, Selangor, Malaysia,12/28/2023,"Data Warehousing, Extract, Transform, Load (ETL), Stored Procedures, and XML,Data Engineering, Data Science, Databases, and SQL"
78,Data Services - Master Data Management,"10,001+ employees ", Chemical Manufacturing,Petaling Jaya, Selangor, Malaysia,1/11/2024,"Conceptual Ability, Data Governance, Easily Adaptable, Oracle Meter Data Management (MDM), Process Analysis, SAP MDM, SAP Products, Statutory Accounting Principles (SAP), and Usability,Data Management"
79,Product Support Engineer,"5,001-10,000 employees ", Travel Arrangements,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2023,"Customer Support, Documentation, Proactive Monitoring, Product Support, and Troubleshooting,Analytical Skills, Communication, Databases, Problem Solving, and Technical Support"
80,Talent Advancement Program (TAP),"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2023,"Business Process Improvement, Business Readiness, Career Counseling, HR Strategy, Human Resources (HR), Patch Management, Program Control, Talent Management, and Vulnerability,Communication"
81,Expression of Interest,"1,001-5,000 employees ", Accounting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/11/2024,"Teamwork · Communication · Coaching,Teamwork · Communication · Coaching"
82,Software Quality Assurance Engineer,"501-1,000 employees ", IT Services and IT Consulting,Selangor,Selangor, Malaysia,12/11/2023,"SQL,ASP.NET Core, Automated Software Testing, Google Analytics, LoadRunner, Manual Testing, MySQL, Selenium, Software Testing, and User Acceptance Testing"
83,Quality Assurance Test Analyst,51-200 employees , IT Services and IT Consulting,Selangor,Selangor, Malaysia,12/11/2023,"Attention to Detail, Functional Testing, Manual Testing, Oral Communication, Test Cases, and Test Execution,Analytical Skills, Communication, Quality Assurance, and Test Planning"
84,Community Associate,"5,001-10,000 employees ", Real Estate,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Community Management, Computer Literacy, Mental Health, Multitasking, Receptionist Duties, Relationship Building, and Written Communication,Communication"
85,Field Engineer,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Budget Control, Interpersonal Skills, Organization Skills, Quality Control Management, Schedule Control, Scopes Of Work, and Subcontracts,Communication, Quality Control, and Technical Support"
86,QA Engineer,201-500 employees , Computer Games,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Automation, Chrome DevTools, IT Documentation, Scenario Testing, Software Testing, Test Automation, Test Cases, and Testing Tools,Quality Assurance and Test Planning"
87,Engineer Quality Compliance,"10,001+ employees ", Medical Equipment Manufacturing,Johor Baharu, Johor, Malaysia,12/21/2024,"Quality Control · Quality Assurance · Complaint Investigations,Quality Control · Quality Assurance · Complaint Investigations"
88,Quality Assurance Engineer,"10,001+ employees ", Computer Hardware Manufacturing,Pasir Gudang, Johor, Malaysia,1/11/2024,"API Testing, Manual Testing, Process Auditing, QA Engineering, Test Cases, and Training Material,Communication, Problem Solving, and Quality Assurance"
89,Data Analyst,"5,001-10,000 employees ", Internet Marketplace Platforms,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Business Insights, Google BigQuery, Online Marketing, Presentations, Query Writing, Root Cause, and Visualization,Analytics, Communication, and Data Analytics"
90,Project Coordinator,"10,001+ employees ", Civil Engineering,Johor Baharu, Johor, Malaysia,12/21/2024,"Budgeting, Calculations, Infrastructure Projects, Negotiation, Project Coordination, and Project Implementation,Communication and Geotechnical Engineering"
91,Quality Engineer,"10,001+ employees ", Medical Equipment Manufacturing,Johor Baharu, Johor, Malaysia,12/21/2024,"Quality Control · Problem Solving · Quality Assurance · Quality System · Corrective and Preventive Action (CAPA) · Corrective Actions,Quality Control · Problem Solving · Quality Assurance · Quality System · Corrective and Preventive Action (CAPA) · Corrective Actions"
92,Database Administrator,"10,001+ employees ", Chemical Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2024,"Customer Service, Database Design, Documentation, Microsoft SQL Server, Operations Support, Oracle Database, and Troubleshooting,Database Administration, Databases, and SQL"
93,Quality Assurance,"10,001+ employees ", Outsourcing and Offshoring Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/11/2024,"Product Quality, Quality Assurance, and Skill Development,Call Quality, Compensation, Customer Experience, Performance Improvement, Public Access, Recognition Programs, and Trend Analysis"
94,Associate/Senior Associate,"1,001-5,000 employees ", Accounting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2024,"Client Relations, High Pressure, Logics, Requirements Analysis, and Written Communication,Analytical Skills, Communication, Data Analysis, Data Analytics, and Problem Solving"
95,Data Center Customer Operations Engineer,"5,001-10,000 employees ", Internet Publishing,Cyberjaya, Selangor, Malaysia,1/7/2024,"Cable Management, Customer Satisfaction, Data Center Infrastructure, Layer 2, Layer 3, Queue Management, and Troubleshooting,Cable Management, Customer Satisfaction, Data Center Infrastructure, Layer 2, Layer 3, Queue Management, and Troubleshooting"
96,Graduate Programme: Digital Enterp,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/11/2024,"Computer Science, Electronic Data Interchange (EDI), and Kanban,Communication and Problem Solving"
97,Media Search Analyst,"10,001+ employees ", IT Services and IT Consulting,Klang, Selangor, Malaysia,12/11/2024,"Communication, Research Skills, and Teamwork,Apple Products, Attention to Detail, Defining Requirements, Easily Adaptable, English, Online Content, and Online Research"
98,"Engineer, Customer Quality Assurance","1,001-5,000 employees ", Industrial Machinery Manufacturing,Sungai Buloh, Selangor, Malaysia,1/4/2024,"Communication · ISO 9001 · ISO Standards · OHSAS 18001 · Product Quality · Quality Assurance · Corrective and Preventive Action (CAPA) · Customer Quality · Mechatronics · Physics,Communication · ISO 9001 · ISO Standards · OHSAS 18001 · Product Quality · Quality Assurance · Corrective and Preventive Action (CAPA) · Customer Quality · Mechatronics · Physics"
99,Analyst - Organization Transformation,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/21/2024,"Analyze Information, Financial Operations, Oral Communication, Presentations, Psychology, Resource Management, and Sociology,Analytical Skills, Communication, and Problem Solving"
100,Project Engineer,"501-1,000 employees ", Semiconductor Manufacturing,Penang,Penang, Malaysia,12/11/2023,"Communication, Microsoft Excel, Microsoft PowerPoint, Problem Solving, Project Engineering, and Project Planning,English, Gantt Project, Malay, Mandarin, Project Coordination, and Project Plans"
101,"Analyst, Testing","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Support Services, Testing Process, and User Acceptance Testing,Databases"
